date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-02-21,2023-02-21_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",4.23,0,0.0,0,0
2023-02-22,2023-02-22_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",20.9,0,0.0,0,0
2023-02-23,2023-02-23_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",4.23,0,0.0,0,0
2023-02-24,2023-02-24_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",11.98,0,0.0,0,0
2023-02-25,2023-02-25_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",31.47,2,229.98,0,0
2023-02-26,2023-02-26_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",32.82,0,0.0,0,0
2023-02-27,2023-02-27_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-02-28,2023-02-28_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",5.26,2,114.99,0,0
2023-03-01,2023-03-01_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",10.52,0,0.0,0,0
2023-03-02,2023-03-02_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",7.5,0,0.0,0,0
2023-03-03,2023-03-03_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",7.77,0,0.0,0,0
2023-03-04,2023-03-04_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",17.82,1,241.47666666666663,0,0
2023-03-05,2023-03-05_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",27.24,1,114.99,0,0
2023-03-06,2023-03-06_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",2.48,0,0.0,0,0
2023-03-07,2023-03-07_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-03-08,2023-03-08_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",15.14,1,241.47666666666663,0,0
2023-03-09,2023-03-09_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",29.8,0,0.0,0,0
2023-03-10,2023-03-10_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",20.51,0,0.0,0,0
2023-03-11,2023-03-11_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",18.11,0,0.0,0,0
2023-03-12,2023-03-12_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",14.29,0,0.0,0,0
2023-03-13,2023-03-13_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",14.69,0,0.0,0,0
2023-03-14,2023-03-14_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",8.66,0,0.0,0,0
2023-03-15,2023-03-15_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",16.23,1,114.14,0,0
2023-03-16,2023-03-16_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",8.4,1,114.14,0,0
2023-03-17,2023-03-17_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",10.28,0,0.0,0,0
2023-03-18,2023-03-18_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",4.27,0,0.0,0,0
2023-03-19,2023-03-19_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",14.26,1,241.47666666666663,0,0
2023-03-20,2023-03-20_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",8.22,0,0.0,0,0
2023-03-21,2023-03-21_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",15.85,1,241.47666666666663,0,0
2023-03-22,2023-03-22_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",18.73,1,241.47666666666663,0,0
2023-03-23,2023-03-23_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",1.47,1,241.47666666666663,0,0
2023-03-24,2023-03-24_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",17.16,0,0.0,0,0
2023-03-25,2023-03-25_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",24.01,1,241.47666666666663,0,0
2023-03-26,2023-03-26_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",14.84,0,0.0,0,0
2023-03-27,2023-03-27_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",4.29,0,0.0,0,0
2023-03-28,2023-03-28_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",9.53,26,241.47666666666663,0,0
2023-03-29,2023-03-29_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",13.66,0,0.0,0,0
2023-03-30,2023-03-30_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",1.8,0,0.0,0,0
2023-03-31,2023-03-31_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",21.86,0,0.0,0,0
2023-04-01,2023-04-01_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",9.36,2,241.47666666666663,0,0
2023-04-02,2023-04-02_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",7.17,1,241.47666666666663,0,0
2023-04-03,2023-04-03_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-04-04,2023-04-04_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-04-05,2023-04-05_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.25,1,241.47666666666663,0,0
2023-04-06,2023-04-06_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-04-07,2023-04-07_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-04-08,2023-04-08_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",1.29,0,0.0,0,0
2023-04-09,2023-04-09_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",10.43,0,0.0,0,0
2023-04-10,2023-04-10_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",7.15,0,0.0,0,0
2023-04-11,2023-04-11_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,1,241.47666666666663,0,0
2023-04-12,2023-04-12_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",26.2,1,241.47666666666663,0,0
2023-04-13,2023-04-13_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",16.85,0,0.0,0,0
2023-04-14,2023-04-14_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",10.23,1,241.47666666666663,0,0
2023-04-15,2023-04-15_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",13.1,0,0.0,0,0
2023-04-16,2023-04-16_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",5.76,0,0.0,0,0
2023-04-17,2023-04-17_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,2,241.47666666666663,0,0
2023-04-18,2023-04-18_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-04-19,2023-04-19_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
2023-04-20,2023-04-20_B0BSLTZV4Z,B0BSLTZV4Z,"NapQueen Alpha New Metal Platform Bed Frame/Modular Design/Mattress Foundation with Steel Slats for Support/No Box Spring Required/Easy Assembly, Full",0.0,0,0.0,0,0
